nome,cor,tipo_parede,ambiente,acabamento,features,linha
Suvinil Criativa,Rosa Chá,Alvenaria,Interno,Fosco,"Sem cheiro, Fácil aplicação",Standard
Suvinil Fachada Acrílica,Verde Oliva,Alvenaria,Externo,Fosco,"Resistente à chuva e sol, Lavável",Premium
Suvinil Toque de Seda,Cinza Chumbo,Alvenaria,Interno,Acetinado,"Lavável, Alta cobertura",Premium
Suvinil Fosco Completo,Amarelo Ouro,Alvenaria,Interno/Externo,Fosco,"Anti-mofo, Resistente à umidade",Premium
Suvinil Clássica,Laranja Coral,Alvenaria,Interno,Fosco,"Econômica, Rápida secagem",Standard
Suvinil Esmalte Sintético,Preto Ônix,"Madeira, Ferro",Interno/Externo,Brilhante,"Alta durabilidade, Resistente ao calor",Premium
Suvinil Criativa,Azul Piscina,Alvenaria,Interno,Fosco,"Fácil aplicação, Lavável",Standard
Suvinil Fachada Acrílica,Branco Neve,Alvenaria,Externo,Fosco,"Anti-mofo, Lavável",Premium
Suvinil Toque de Seda,Amarelo Canário,Alvenaria,Interno,Acetinado,"Sem odor, Alta cobertura",Premium
Suvinil Fosco Completo,Verde Menta,Alvenaria,Interno/Externo,Fosco,"Resistente à umidade, Alta cobertura",Premium
Suvinil Clássica,Azul Sereno,Alvenaria,Interno,Fosco,"Boa cobertura, Econômica",Standard
Suvinil Esmalte Sintético,Branco Gelo,"Madeira, Ferro",Interno/Externo,Brilhante,"Impermeável, Alta durabilidade",Premium
Suvinil Criativa,Bege Areia,Alvenaria,Interno,Fosco,"Sem cheiro, Fácil aplicação",Standard
Suvinil Fachada Acrílica,Cinza Urbano,Alvenaria,Externo,Fosco,"Resistente à chuva e sol, Lavável",Premium
Suvinil Toque de Seda,Verde Limão,Alvenaria,Interno,Acetinado,"Lavável, Sem odor",Premium
Suvinil Fosco Completo,Rosa Chá,Alvenaria,Interno/Externo,Fosco,"Anti-mofo, Alta cobertura",Premium
Suvinil Clássica,Branco Neve,Alvenaria,Interno,Fosco,"Econômica, Rápida secagem",Standard
Suvinil Esmalte Sintético,Amarelo Ouro,"Madeira, Ferro",Interno/Externo,Brilhante,"Resistente ao calor, Impermeável",Premium
Suvinil Criativa,Laranja Coral,Alvenaria,Interno,Fosco,"Fácil aplicação, Lavável",Standard
Suvinil Fachada Acrílica,Preto Ônix,Alvenaria,Externo,Fosco,"Anti-mofo, Lavável",Premium
Suvinil Toque de Seda,Azul Piscina,Alvenaria,Interno,Acetinado,"Alta cobertura, Sem odor",Premium
Suvinil Fosco Completo,Verde Oliva,Alvenaria,Interno/Externo,Fosco,"Resistente à umidade, Anti-mofo",Premium
Suvinil Clássica,Cinza Chumbo,Alvenaria,Interno,Fosco,"Boa cobertura, Econômica",Standard
Suvinil Esmalte Sintético,Verde Menta,"Madeira, Ferro",Interno/Externo,Brilhante,"Impermeável, Alta durabilidade",Premium
Suvinil Criativa,Branco Gelo,Alvenaria,Interno,Fosco,"Sem cheiro, Fácil aplicação",Standard
Suvinil Fachada Acrílica,Amarelo Canário,Alvenaria,Externo,Fosco,"Resistente à chuva e sol, Lavável",Premium
Suvinil Toque de Seda,Laranja Coral,Alvenaria,Interno,Acetinado,"Lavável, Sem odor",Premium
Suvinil Fosco Completo,Azul Sereno,Alvenaria,Interno/Externo,Fosco,"Anti-mofo, Alta cobertura",Premium
Suvinil Clássica,Preto Ônix,Alvenaria,Interno,Fosco,"Econômica, Rápida secagem",Standard
Suvinil Esmalte Sintético,Cinza Urbano,"Madeira, Ferro",Interno/Externo,Brilhante,"Resistente ao calor, Impermeável",Premium
Suvinil Criativa,Azul Marinho,Alvenaria,Interno,Fosco,"Fácil aplicação, Lavável",Standard
Suvinil Fachada Acrílica,Verde Limão,Alvenaria,Externo,Fosco,"Anti-mofo, Lavável",Premium
Suvinil Toque de Seda,Preto Ônix,Alvenaria,Interno,Acetinado,"Alta cobertura, Sem odor",Premium
Suvinil Fosco Completo,Azul Marinho,Alvenaria,Interno/Externo,Fosco,"Resistente à umidade, Anti-mofo",Premium
Suvinil Clássica,Verde Oliva,Alvenaria,Interno,Fosco,"Boa cobertura, Econômica",Standard
Suvinil Esmalte Sintético,Branco Neve,"Madeira, Ferro",Interno/Externo,Brilhante,"Impermeável, Alta durabilidade",Premium
Suvinil Criativa,Cinza Chumbo,Alvenaria,Interno,Fosco,"Sem cheiro, Fácil aplicação",Standard
Suvinil Fachada Acrílica,Rosa Chá,Alvenaria,Externo,Fosco,"Resistente à chuva e sol, Lavável",Premium
Suvinil Toque de Seda,Azul Sereno,Alvenaria,Interno,Acetinado,"Lavável, Sem odor",Premium
Suvinil Fosco Completo,Bege Areia,Alvenaria,Interno/Externo,Fosco,"Anti-mofo, Alta cobertura",Premium
Suvinil Clássica,Azul Piscina,Alvenaria,Interno,Fosco,"Econômica, Rápida secagem",Standard
Suvinil Esmalte Sintético,Amarelo Canário,"Madeira, Ferro",Interno/Externo,Brilhante,"Resistente ao calor, Impermeável",Premium
Suvinil Criativa,Verde Oliva,Alvenaria,Interno,Fosco,"Fácil aplicação, Lavável",Standard
Suvinil Fachada Acrílica,Branco Gelo,Alvenaria,Externo,Fosco,"Anti-mofo, Lavável",Premium
